logth logp DY Brem
-7.275 -1.975 0.0 0.0
-7.275 -1.925 0.0 0.0
-7.275 -1.875 0.0 0.0
-7.275 -1.825 0.0 0.0
-7.275 -1.775 0.0 0.0
-7.275 -1.725 0.0 0.0
-7.275 -1.675 0.0 0.0
-7.275 -1.625 0.0 0.0
-7.275 -1.575 0.0 0.0
-7.275 -1.525 0.0 0.0
-7.275 -1.475 0.0 0.0
-7.275 -1.425 0.0 0.0
-7.275 -1.375 0.0 0.0
-7.275 -1.325 0.0 0.0
-7.275 -1.275 0.0 0.0
-7.275 -1.225 0.0 0.0
-7.275 -1.175 0.0 0.0
-7.275 -1.125 0.0 0.0
-7.275 -1.075 0.0 0.0
-7.275 -1.025 0.0 0.0
-7.275 -0.975 0.0 0.0
-7.275 -0.925 0.0 0.0
-7.275 -0.875 0.0 0.0
-7.275 -0.825 0.0 0.0
-7.275 -0.775 0.0 0.0
-7.275 -0.725 0.0 0.0
-7.275 -0.675 0.0 0.0
-7.275 -0.625 0.0 0.0
-7.275 -0.575 0.0 0.0
-7.275 -0.525 0.0 0.0
-7.275 -0.475 0.0 0.0
-7.275 -0.425 0.0 0.0
-7.275 -0.375 0.0 0.0
-7.275 -0.325 0.0 0.0
-7.275 -0.275 0.0 0.0
-7.275 -0.225 0.0 0.0
-7.275 -0.175 0.0 0.0
-7.275 -0.125 0.0 0.0
-7.275 -0.075 0.0 0.0
-7.275 -0.025 0.0 0.0
-7.275 0.025 0.0 0.0
-7.275 0.075 0.0 0.0
-7.275 0.125 0.0 0.0
-7.275 0.175 0.0 0.0
-7.275 0.225 0.0 0.0
-7.275 0.275 0.0 8.64181e-12
-7.275 0.325 0.0 1.13634e-11
-7.275 0.375 0.0 1.48677e-11
-7.275 0.425 0.0 1.93594e-11
-7.275 0.475 0.0 2.50941e-11
-7.275 0.525 0.0 3.23912e-11
-7.275 0.575 0.0 4.1651e-11
-7.275 0.625 0.0 5.33761e-11
-7.275 0.675 0.0 6.8198e-11
-7.275 0.725 0.0 8.69117e-11
-7.275 0.775 0.0 1.10518e-10
-7.275 0.825 0.0 1.40276e-10
-7.275 0.875 0.0 1.77773e-10
-7.275 0.925 0.0 2.25007e-10
-7.275 0.975 0.0 2.84494e-10
-7.275 1.025 0.0 3.59404e-10
-7.275 1.075 0.0 4.53724e-10
-7.275 1.125 0.0 5.72479e-10
-7.275 1.175 0.0 7.21992e-10
-7.275 1.225 0.0 9.10226e-10
-7.275 1.275 0.0 1.1472e-09
-7.275 1.325 0.0 1.44555e-09
-7.275 1.375 0.0 1.82114e-09
-7.275 1.425 0.0 2.29398e-09
-7.275 1.475 0.0 2.88926e-09
-7.275 1.525 0.0 3.63866e-09
-7.275 1.575 0.0 4.58209e-09
-7.275 1.625 0.0 5.7698e-09
-7.275 1.675 0.0 7.26503e-09
-7.275 1.725 0.0 9.14738e-09
-7.275 1.775 0.0 1.15171e-08
-7.275 1.825 0.0 1.45004e-08
-7.275 1.875 0.0 1.8256e-08
-7.275 1.925 0.0 2.2984e-08
-7.275 1.975 0.0 2.89361e-08
-7.275 2.025 0.0 3.64292e-08
-7.275 2.075 0.0 4.58622e-08
-7.275 2.125 0.0 5.77373e-08
-7.275 2.175 0.0 7.26868e-08
-7.275 2.225 0.0 9.15065e-08
-7.275 2.275 0.0 1.15198e-07
-7.275 2.325 0.0 1.45023e-07
-7.275 2.375 0.0 1.82569e-07
-7.275 2.425 0.0 2.29834e-07
-7.275 2.475 0.0 2.89333e-07
-7.275 2.525 0.0 3.64234e-07
-7.275 2.575 0.0 4.58521e-07
-7.275 2.625 0.0 5.77213e-07
-7.275 2.675 0.0 7.26624e-07
-7.275 2.725 0.0 9.14703e-07
-7.275 2.775 0.0 1.15145e-06
-7.275 2.825 0.0 1.44947e-06
-7.275 2.875 0.0 1.8246e-06
-7.275 2.925 0.0 2.2968e-06
-7.275 2.975 0.0 2.89116e-06
-7.275 3.025 0.0 3.63928e-06
-7.275 3.075 0.0 4.58093e-06
-7.275 3.125 0.0 5.76614e-06
-7.275 3.175 0.0 7.25789e-06
-7.275 3.225 0.0 9.13542e-06
-7.275 3.275 0.0 1.14985e-05
-7.275 3.325 0.0 1.44725e-05
-7.275 3.375 0.0 1.82155e-05
-7.275 3.425 0.0 2.29261e-05
-7.275 3.475 0.0 2.88546e-05
-7.275 3.525 0.0 3.63158e-05
-7.275 3.575 0.0 4.57062e-05
-7.275 3.625 0.0 5.75249e-05
-7.275 3.675 0.0 7.24008e-05
-7.275 3.725 0.0 9.11266e-05
-7.275 3.775 0.0 0.000114702
-7.275 3.825 0.0 0.000144391
-7.275 3.875 0.0 0.000181788
-7.275 3.925 0.0 0.000228919
-7.275 3.975 0.0 0.000288354
-7.275 4.025 0.0 0.000363376
-7.275 4.075 0.0 0.000458198
-7.275 4.125 0.0 0.000578271
-7.275 4.175 0.0 0.000730732
-7.275 4.225 0.0 0.000925085
-7.275 4.275 0.0 0.00117428
-7.275 4.325 0.0 0.00149659
-7.275 4.375 0.0 0.00191904
-7.275 4.425 0.0 0.00248432
-7.275 4.475 0.0 0.00326598
-7.275 4.525 0.0 0.00440574
-7.275 4.575 4077.24 0.00621594
-7.275 4.625 0.0 0.00949798
-7.275 4.675 0.0 0.0164382
-7.275 4.725 0.0 0.0
-7.275 4.775 0.0 0.0
-7.275 4.825 0.0 0.0
-7.275 4.875 0.0 0.0
-7.275 4.925 0.0 0.0
-7.275 4.975 0.0 0.0
-7.225 -1.975 0.0 0.0
-7.225 -1.925 0.0 0.0
-7.225 -1.875 0.0 0.0
-7.225 -1.825 0.0 0.0
-7.225 -1.775 0.0 0.0
-7.225 -1.725 0.0 0.0
-7.225 -1.675 0.0 0.0
-7.225 -1.625 0.0 0.0
-7.225 -1.575 0.0 0.0
-7.225 -1.525 0.0 0.0
-7.225 -1.475 0.0 0.0
-7.225 -1.425 0.0 0.0
-7.225 -1.375 0.0 0.0
-7.225 -1.325 0.0 0.0
-7.225 -1.275 0.0 0.0
-7.225 -1.225 0.0 0.0
-7.225 -1.175 0.0 0.0
-7.225 -1.125 0.0 0.0
-7.225 -1.075 0.0 0.0
-7.225 -1.025 0.0 0.0
-7.225 -0.975 0.0 0.0
-7.225 -0.925 0.0 0.0
-7.225 -0.875 0.0 0.0
-7.225 -0.825 0.0 0.0
-7.225 -0.775 0.0 0.0
-7.225 -0.725 0.0 0.0
-7.225 -0.675 0.0 0.0
-7.225 -0.625 0.0 0.0
-7.225 -0.575 0.0 0.0
-7.225 -0.525 0.0 0.0
-7.225 -0.475 0.0 0.0
-7.225 -0.425 0.0 0.0
-7.225 -0.375 0.0 0.0
-7.225 -0.325 0.0 0.0
-7.225 -0.275 0.0 0.0
-7.225 -0.225 0.0 0.0
-7.225 -0.175 0.0 0.0
-7.225 -0.125 0.0 0.0
-7.225 -0.075 0.0 0.0
-7.225 -0.025 0.0 0.0
-7.225 0.025 0.0 0.0
-7.225 0.075 0.0 0.0
-7.225 0.125 0.0 0.0
-7.225 0.175 0.0 0.0
-7.225 0.225 0.0 0.0
-7.225 0.275 0.0 1.08794e-11
-7.225 0.325 0.0 1.43056e-11
-7.225 0.375 0.0 1.87173e-11
-7.225 0.425 0.0 2.43721e-11
-7.225 0.475 0.0 3.15916e-11
-7.225 0.525 0.0 4.07781e-11
-7.225 0.575 0.0 5.24355e-11
-7.225 0.625 0.0 6.71965e-11
-7.225 0.675 0.0 8.58562e-11
-7.225 0.725 0.0 1.09415e-10
-7.225 0.775 0.0 1.39134e-10
-7.225 0.825 0.0 1.76597e-10
-7.225 0.875 0.0 2.23803e-10
-7.225 0.925 0.0 2.83267e-10
-7.225 0.975 0.0 3.58157e-10
-7.225 1.025 0.0 4.52462e-10
-7.225 1.075 0.0 5.71205e-10
-7.225 1.125 0.0 7.20708e-10
-7.225 1.175 0.0 9.08934e-10
-7.225 1.225 0.0 1.14591e-09
-7.225 1.275 0.0 1.44424e-09
-7.225 1.325 0.0 1.81983e-09
-7.225 1.375 0.0 2.29268e-09
-7.225 1.425 0.0 2.88795e-09
-7.225 1.475 0.0 3.63736e-09
-7.225 1.525 0.0 4.5808e-09
-7.225 1.575 0.0 5.76851e-09
-7.225 1.625 0.0 7.26375e-09
-7.225 1.675 0.0 9.14612e-09
-7.225 1.725 0.0 1.15159e-08
-7.225 1.775 0.0 1.44992e-08
-7.225 1.825 0.0 1.82549e-08
-7.225 1.875 0.0 2.29829e-08
-7.225 1.925 0.0 2.89351e-08
-7.225 1.975 0.0 3.64284e-08
-7.225 2.025 0.0 4.58616e-08
-7.225 2.075 0.0 5.77371e-08
-7.225 2.125 0.0 7.2687e-08
-7.225 2.175 0.0 9.15073e-08
-7.225 2.225 0.0 1.152e-07
-7.225 2.275 0.0 1.45026e-07
-7.225 2.325 0.0 1.82573e-07
-7.225 2.375 0.0 2.29841e-07
-7.225 2.425 0.0 2.89343e-07
-7.225 2.475 0.0 3.64249e-07
-7.225 2.525 0.0 4.58543e-07
-7.225 2.575 0.0 5.77244e-07
-7.225 2.625 0.0 7.26668e-07
-7.225 2.675 0.0 9.14765e-07
-7.225 2.725 0.0 1.15154e-06
-7.225 2.775 0.0 1.4496e-06
-7.225 2.825 0.0 1.82478e-06
