logth logp Brem_QRA_L2.0 Brem_FWW Brem_QRA_L1.0 Brem_QRA_L1.5
-7.475 -1.975 0.0 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0 0.0
-7.475 -0.125 0.0 2.8317668220916422e-08 0.0 0.0
-7.475 -0.075 0.0 3.723571397145513e-08 0.0 0.0
-7.475 -0.025 0.0 4.8718650038067965e-08 0.0 0.0
-7.475 0.025 0.0 6.343724959525955e-08 0.0 0.0
-7.475 0.075 0.0 8.22286791583425e-08 0.0 0.0
-7.475 0.125 0.0 1.0613979037442267e-07 0.0 0.0
-7.475 0.175 0.0 1.3648231780597192e-07 0.0 0.0
-7.475 0.225 0.0 1.749028720327161e-07 0.0 0.0
-7.475 0.275 0.0 2.2347129414926649e-07 0.0 0.0
-7.475 0.325 0.0 2.847918654901918e-07 0.0 0.0
-7.475 0.375 0.0 3.62143092549825e-07 0.0 0.0
-7.475 0.425 0.0 4.596533558599177e-07 0.0 0.0
-7.475 0.475 0.0 5.825216809990986e-07 0.0 0.0
-7.475 0.525 0.0 7.372953455965842e-07 0.0 0.0
-7.475 0.575 0.0 9.322190997724154e-07 0.0 0.0
-7.475 0.625 0.0 1.1776746110971308e-06 0.0 0.0
-7.475 0.675 0.0 1.4867335563515202e-06 0.0 0.0
-7.475 0.725 7.766135848964762e-14 1.875853831700752e-06 3.033702374191653e-16 7.775008809629611e-15
-7.475 0.775 1.5501214911630559e-13 2.365755966046654e-06 6.055301709112738e-16 1.5518979058207806e-14
-7.475 0.825 3.094181402455876e-13 2.982526406764643e-06 1.2086997069587643e-15 3.0977407858820445e-14
-7.475 0.875 6.176569757920662e-13 3.7590064137553355e-06 2.4128107826357568e-15 6.183708897901468e-14
-7.475 0.925 1.2330281575012017e-12 4.736540488662916e-06 4.816738016485673e-15 1.2344618763168019e-13
-7.475 0.975 2.461645441482752e-12 5.9671773884085265e-06 9.616360076135304e-15 2.4645292054865153e-13
-7.475 1.025 4.914824020889518e-12 7.516440841235909e-06 1.9199933275151714e-14 4.920635584090564e-13
-7.475 1.075 9.813498188985536e-12 9.466817376639292e-06 3.833750273863149e-14 9.825237916807977e-13
-7.475 1.125 1.9596428283013085e-11 1.1922146804677171e-05 7.655741450396691e-14 1.96202125118969e-12
-7.475 1.175 3.913554530621348e-11 1.5013148856214527e-05 1.5289552658989463e-13 3.9183902977498724e-12
-7.475 1.225 7.816491463664854e-11 1.8904379864842954e-05 3.0538780711736665e-13 7.826365975494999e-12
-7.475 1.275 1.5613612069053474e-10 2.3802989328367815e-05 6.100479076112291e-13 1.563388051207343e-11
-7.475 1.325 3.1192594466714165e-10 2.9969741747972638e-05 1.2188160570478098e-12 3.1234455626116313e-11
-7.475 1.375 6.23249903736954e-10 3.773288935093403e-05 2.435464446589754e-12 6.241207978970324e-11
-7.475 1.425 1.2454952332005617e-09 4.750563249301744e-05 4.867468139779972e-12 1.2473224650162252e-10
-7.475 1.475 2.4894194105765783e-09 5.9808094660891004e-05 9.729967710587654e-12 2.4932903953858844e-10
-7.475 1.525 4.976657285753814e-09 7.529497802712698e-05 1.9454361099539582e-11 4.984947428547037e-10
-7.475 1.575 9.951052395376798e-09 9.479036595181677e-05 3.890732393375346e-11 9.969019719030136e-10
-7.475 1.625 1.9902161072624923e-08 0.00011933151632863841 7.783365044266276e-11 1.9941604357906528e-09
-7.475 1.675 3.9814383639026505e-08 0.00015022396381471348 1.5575405956391208e-10 3.990214526774278e-09
-7.475 1.725 7.967039595325059e-08 0.00018911084420473437 3.1179070798645894e-10 7.986837204069944e-09
-7.475 1.775 1.594702593807233e-07 0.0002380601009685663 6.243906791304328e-10 1.599230325351537e-08
-7.475 1.825 3.192980007775296e-07 0.00029967417012621194 1.2509462514305453e-09 3.203474080810229e-08
-7.475 1.875 6.395191020220544e-07 0.000377227912088818 2.507445562444706e-09 6.419823543065975e-08
-7.475 1.925 1.2813184748848223e-06 0.0004748420257155979 5.028736554150046e-09 1.2871688041407792e-07
-7.475 1.975 2.5680875228522395e-06 0.0005977010116212747 1.0091298975910206e-08 2.582131726155853e-07
-7.475 2.025 5.148858674480919e-06 0.0007523270351883634 2.0263990651154334e-08 5.182896793835251e-07
-7.475 2.075 1.0326534005851466e-05 0.0009469238790755325 4.072154258410964e-08 1.0409727329378766e-06
-7.475 2.125 2.0717027263711327e-05 0.0011918086943281125 8.189912801958394e-08 2.092185410329889e-06
-7.475 2.175 4.157252754251246e-05 0.0014999536032554014 1.6486464080242425e-07 4.208000096631526e-06
-7.475 2.225 8.343630548399211e-05 0.0018876645402144015 3.322073336078695e-07 8.470033602728949e-06
-7.475 2.275 0.00016746304817183316 0.002375431216350022 6.701428611159603e-07 1.706256581327486e-05
-7.475 2.325 0.00033606262566680004 0.002988989939815002 1.3534667233959154e-06 3.440046891668741e-05
-7.475 2.375 0.0006741394137821574 0.0037606503666897774 2.7371417390459794e-06 6.941424497992145e-05
-7.475 2.425 0.0013513196462319195 0.004730948177319807 5.54325943625674e-06 0.00014018106307514227
-7.475 2.475 0.0027054766147695565 0.005950698084092831 1.1243460296881335e-05 0.0002833107532723297
-7.475 2.525 0.005406778550199167 0.007483535086931229 2.284275378756675e-05 0.0005729597484736595
-7.475 2.575 0.010776803094821976 0.00940904555571108 4.648929889738884e-05 0.001159301880299432
-7.475 2.625 0.02140129904180475 0.011826601637908447 9.478681084496083e-05 0.0023461899119537107
-7.475 2.675 0.042286558587984316 0.014860019189011326 0.00019362183379416928 0.004747352337930678
-7.475 2.725 0.08299174833796157 0.018663154876887165 0.00039625352570805803 0.00959876531835462
-7.475 2.775 0.16144170830919227 0.023426532303123707 0.0008124100924396649 0.01937813961460503
-7.475 2.825 0.31047069562860047 0.029385023889020114 0.0016683557827467312 0.03901872523672651
-7.475 2.875 0.5884521113370044 0.03682649030776492 0.0034306783816182153 0.07824720539537733
-7.475 2.925 1.095316699945686 0.04610105673211141 0.007060426700726653 0.15597940723173212
-7.475 2.975 1.99425157602826 0.0576303376817087 0.01453134603837555 0.30830982302311016
-7.475 3.025 3.5366221787592718 0.07191535678310687 0.02987510384775821 0.6023539143044783
-7.475 3.075 6.082761491588695 0.08954111036175577 0.06125366281359509 1.15863071643001
-7.475 3.125 10.105272469834059 0.11117474781937298 0.12496286654206527 2.1836828114874294
-7.475 3.175 16.15777273428138 0.13755348813543583 0.2528701727403364 4.010086333548869
-7.475 3.225 24.795404112872166 0.16945854181559172 0.5054361947266027 7.130371101246554
-7.475 3.275 36.44695852389635 0.20767452030032924 0.9924999933139235 12.19483086800156
-7.475 3.325 51.26093067432148 0.2529441548891802 1.9017507506720397 19.930154011114883
-7.475 3.375 68.97776554211444 0.30595208084180014 3.5278310230920886 30.95097631581878
-7.475 3.425 88.9269625338276 0.36741517695008286 6.2843159975282 45.51512189534725
-7.475 3.475 110.33623859047054 0.4384136260577125 10.684775293855154 63.438152752605426
-7.475 3.525 133.29811533667157 0.5211106988137406 17.35535532537942 84.61400388073503
-7.475 3.575 160.93976235884193 0.6198109155005006 27.3727787791415 110.79858095978372
-7.475 3.625 203.3797082631677 0.7415810665485557 43.558082237146515 149.28609858341352
-7.475 3.675 283.36733628414174 0.894187854976406 73.27578599009718 218.34513780943368
-7.475 3.725 441.0535076184252 1.077516579020166 131.6780046220365 351.8750755153023
-7.475 3.775 728.8563844128114 1.2634879981105815 240.07635656027128 594.8429646223211
-7.475 3.825 1124.5297100984167 1.2915947732992992 390.69546926631347 928.812924949396
-7.475 3.875 0.0 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0 0.0
