logth logp Brem_QRA_L1.5 Brem_QRA_L1.0 Brem_QRA_L2.0
-7.475 -1.975 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0
-7.475 -0.125 0.0 0.0 0.0
-7.475 -0.075 0.0 0.0 0.0
-7.475 -0.025 0.0 0.0 0.0
-7.475 0.025 0.0 0.0 0.0
-7.475 0.075 0.0 0.0 0.0
-7.475 0.125 0.0 0.0 0.0
-7.475 0.175 0.0 0.0 0.0
-7.475 0.225 0.0 0.0 0.0
-7.475 0.275 0.0 0.0 0.0
-7.475 0.325 0.0 0.0 0.0
-7.475 0.375 0.0 0.0 0.0
-7.475 0.425 0.0 0.0 0.0
-7.475 0.475 0.0 0.0 0.0
-7.475 0.525 0.0 0.0 0.0
-7.475 0.575 0.0 0.0 0.0
-7.475 0.625 0.0 0.0 0.0
-7.475 0.675 0.0 0.0 0.0
-7.475 0.725 1.5978299403570416e-15 6.234507541530363e-17 1.5960112390978013e-14
-7.475 0.775 3.189248468135403e-15 1.2444011071576918e-16 3.185609804611936e-14
-7.475 0.825 6.3659805955302084e-15 2.4839216309044467e-16 6.35869603516938e-14
-7.475 0.875 1.2707605691400658e-14 4.958347914135539e-16 1.2693010359171952e-13
-7.475 0.925 2.5367998412935874e-14 9.898293649255858e-16 2.533872600995304e-13
-7.475 0.975 5.064488832371973e-14 1.976108743967676e-15 5.05861067858172e-13
-7.475 1.025 1.0111491331694186e-13 3.945406983713204e-15 1.009966935359098e-12
-7.475 1.075 2.018964146910834e-13 7.877835924700633e-15 2.016582029183986e-12
-7.475 1.125 4.0316222856453395e-13 1.573114522424815e-14 4.026811108324931e-12
-7.475 1.175 8.051437340787326e-13 3.1416417881648165e-14 8.041692264805408e-12
-7.475 1.225 1.6081049284189303e-12 6.274817340992265e-14 1.606124130299226e-11
-7.475 1.275 3.212242686632731e-12 1.2534280534713037e-13 3.2081993403242665e-11
-7.475 1.325 6.417436390593361e-12 2.5041372217953456e-13 6.409140482281354e-11
-7.475 1.375 1.2822745396931041e-11 5.003621939973894e-13 1.2805620131317435e-10
-7.475 1.425 2.562562310120306e-11 9.999691977118746e-13 2.5590016072258094e-10
-7.475 1.475 5.1221279260233664e-11 1.998819603666168e-12 5.114662246061686e-10
-7.475 1.525 1.024043770685205e-10 3.996276751285027e-12 1.022463376580582e-09
-7.475 1.575 2.047808289206598e-10 7.991785269396845e-12 2.044426535298645e-09
-7.475 1.625 4.096136548382132e-10 1.5986410960334328e-11 4.088813769654833e-09
-7.475 1.675 8.195713750258317e-10 3.1988297680840513e-11 8.179652960594164e-09
-7.475 1.725 1.6403651034717447e-09 6.402947587312022e-11 1.6367948098072298e-08
-7.475 1.775 3.2843631290322807e-09 1.2821382763418886e-10 3.276316036053004e-08
-7.475 1.825 6.5786332174023914e-09 2.5684745396975847e-10 6.560243565955582e-08
-7.475 1.875 1.3182945971639912e-08 5.14781170364581e-10 1.31403508383883e-07
-7.475 1.925 2.6430263824627507e-08 1.0322879546342425e-09 2.6330328469302577e-07
-7.475 1.975 5.301810054465587e-08 2.0712677369245403e-09 5.278081676082181e-07
-7.475 2.025 1.0641510513123287e-07 4.158702723051967e-09 1.058455258575767e-06
-7.475 2.075 2.1372871515296213e-07 8.35598737319504e-09 2.1234804549667633e-06
-7.475 2.125 4.2956405168287306e-07 1.6803163354019446e-08 4.261882130435908e-06
-7.475 2.175 8.640202373596448e-07 3.38201926870216e-08 8.55703485842929e-06
-7.475 2.225 1.739306547655782e-06 6.813882028312421e-08 1.718683111229719e-05
-7.475 2.275 3.504360352994226e-06 1.3743324750311354e-07 3.4529327469868524e-05
-7.475 2.325 7.067136743021115e-06 2.775339891648586e-07 6.938285265875757e-05
-7.475 2.375 1.4265851186352154e-05 5.612021708463457e-07 0.00013941734540872622
-7.475 2.425 2.8825826155219623e-05 1.1364637921698703e-06 0.0002800790027117733
-7.475 2.475 5.8303644889451594e-05 2.3050544648445153e-06 0.0005623438072133942
-7.475 2.525 0.000118038681254946 4.683311916869609e-06 0.0011279440458074586
-7.475 2.575 0.00023918339557758435 9.532948192257366e-06 0.002258797580038392
-7.475 2.625 0.000485008261433464 1.9442673398326268e-05 0.004512590883009832
-7.475 2.675 0.0009839453193925191 3.973601878600497e-05 0.008984240300734652
-7.475 2.725 0.001996333194576954 8.138508526643578e-05 0.017801607647941628
-7.475 2.775 0.004048526735180144 0.00016705135652136255 0.03504414045499179
-7.475 2.825 0.00820021583425495 0.0003436232313402152 0.06839396394180534
-7.475 2.875 0.01657104862450688 0.0007082409051490308 0.13198402684090502
-7.475 2.925 0.03336068425249682 0.0014622480651832641 0.25104577641508596
-7.475 2.975 0.06677750654600027 0.0030226594443015604 0.4689347474557552
-7.475 3.025 0.13256244234693706 0.00625097918967845 0.8566454069634134
-7.475 3.075 0.2601186024465722 0.012917830045264431 1.5236428046797335
-7.475 3.125 0.5024356052894222 0.026630194286685647 2.626535246621024
-7.475 3.175 0.9504850270882431 0.054632868136302686 4.369287023053839
-7.475 3.225 1.7505219763083775 0.11116727409034863 6.986971820826821
-7.475 3.275 3.1175431384821803 0.22334825339081082 10.706873485352395
-7.475 3.325 5.330250685489044 0.4404554082399421 15.687539405338647
-7.475 3.375 8.68728266391326 0.8462733660260805 21.947584736590827
-7.475 3.425 13.414020658479675 1.5704882381112804 29.311049120586517
-7.475 3.475 19.551499225199098 2.7901314116806977 37.419697248131975
-7.475 3.525 26.943119246742853 4.716561439441685 45.907575637487554
-7.475 3.575 35.54589820776217 7.609076546137504 54.910294597728274
-7.475 3.625 46.376703856319004 11.980909206060037 66.16590762902794
-7.475 3.675 63.32782313024385 19.310341211612602 84.92286357101506
-7.475 3.725 95.54636294770592 33.4024105845465 122.35647498217139
-7.475 3.775 158.43119388689107 61.41362635752776 196.46521238923208
-7.475 3.825 264.0297072200465 109.53163795967872 320.93914664286825
-7.475 3.875 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0
-7.425 -0.225 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0
-7.425 -0.125 0.0 0.0 0.0
-7.425 -0.075 0.0 0.0 0.0
-7.425 -0.025 0.0 0.0 0.0
-7.425 0.025 0.0 0.0 0.0
-7.425 0.075 0.0 0.0 0.0
-7.425 0.125 0.0 0.0 0.0
-7.425 0.175 0.0 0.0 0.0
-7.425 0.225 0.0 0.0 0.0
-7.425 0.275 0.0 0.0 0.0
-7.425 0.325 0.0 0.0 0.0
-7.425 0.375 0.0 0.0 0.0
-7.425 0.425 0.0 0.0 0.0
-7.425 0.475 0.0 0.0 0.0
-7.425 0.525 0.0 0.0 0.0
-7.425 0.575 0.0 0.0 0.0
-7.425 0.625 0.0 0.0 0.0
-7.425 0.675 0.0 0.0 0.0
-7.425 0.725 2.0115487156409613e-15 7.848779974054654e-17 2.0092591064092418e-14
-7.425 0.775 4.0150259410610866e-15 1.56660817626554e-16 4.010445135086425e-14
-7.425 0.825 8.014294742701074e-15 3.127072062050636e-16 8.005124024549078e-14
-7.425 0.875 1.599792772796327e-14 6.242190189621363e-16 1.5979553293326976e-13
-7.425 0.925 3.193641784839611e-14 1.2461213408447866e-15 3.189956607641675e-13
-7.425 0.975 6.375813688820095e-14 2.487773514249268e-15 6.368413531639112e-13
-7.425 1.025 1.2729613388604355e-13 4.966973111665989e-15 1.2714730399952563e-12
-7.425 1.075 2.5417252700469075e-13 9.917607835548778e-15 2.5387263615066946e-12
-7.425 1.125 5.075511746153417e-13 1.9804338479425832e-14 5.069454832764107e-12
-7.425 1.175 1.0136159069782624e-12 3.955092681873987e-14 1.012389074598913e-11
-7.425 1.225 2.024484159217281e-12 7.899527004938938e-14 2.0219904821287524e-11
-7.425 1.275 4.043973947050029e-12 1.5779724283699874e-13 4.03888367563362e-11
-7.425 1.325 8.079073750685863e-12 3.1525219831359527e-13 8.068629820897974e-11
-7.425 1.375 1.6142880029151247e-11 6.299186811239309e-13 1.612132059708657e-10
-7.425 1.425 3.22607481151341e-11 1.258886634009731e-12 3.221592152155683e-10
-7.425 1.475 6.448377008523807e-11 2.5163647926447325e-12 6.438978274303735e-10
-7.425 1.525 1.2891947257032194e-10 5.031014354747528e-12 1.287205127404263e-09
-7.425 1.575 2.578037893760131e-10 1.0061061561227273e-11 2.573780517828984e-09
-7.425 1.625 5.156730390925033e-10 2.0125699001302526e-11 5.147511558700314e-09
-7.425 1.675 1.0317792307960617e-09 4.027088083032767e-11 1.0297572971719004e-08
-7.425 1.725 2.06509731337327e-09 8.060833428023283e-11 2.060602579951464e-08
