logth logp Brem DY
-7.275 -1.975 0.0 0.0
-7.275 -1.925 0.0 0.0
-7.275 -1.875 0.0 0.0
-7.275 -1.825 0.0 0.0
-7.275 -1.775 0.0 0.0
-7.275 -1.725 0.0 0.0
-7.275 -1.675 0.0 0.0
-7.275 -1.625 0.0 0.0
-7.275 -1.575 0.0 0.0
-7.275 -1.525 0.0 0.0
-7.275 -1.475 0.0 0.0
-7.275 -1.425 0.0 0.0
-7.275 -1.375 0.0 0.0
-7.275 -1.325 0.0 0.0
-7.275 -1.275 0.0 0.0
-7.275 -1.225 0.0 0.0
-7.275 -1.175 0.0 0.0
-7.275 -1.125 0.0 0.0
-7.275 -1.075 0.0 0.0
-7.275 -1.025 0.0 0.0
-7.275 -0.975 0.0 0.0
-7.275 -0.925 0.0 0.0
-7.275 -0.875 0.0 0.0
-7.275 -0.825 0.0 0.0
-7.275 -0.775 0.0 0.0
-7.275 -0.725 0.0 0.0
-7.275 -0.675 0.0 0.0
-7.275 -0.625 0.0 0.0
-7.275 -0.575 0.0 0.0
-7.275 -0.525 0.0 0.0
-7.275 -0.475 0.0 0.0
-7.275 -0.425 0.0 0.0
-7.275 -0.375 0.0 0.0
-7.275 -0.325 0.0 0.0
-7.275 -0.275 0.0 0.0
-7.275 -0.225 0.0 0.0
-7.275 -0.175 0.0 0.0
-7.275 -0.125 0.0 0.0
-7.275 -0.075 0.0 0.0
-7.275 -0.025 0.0 0.0
-7.275 0.025 0.0 0.0
-7.275 0.075 0.0 0.0
-7.275 0.125 0.0 0.0
-7.275 0.175 0.0 0.0
-7.275 0.225 0.0 0.0
-7.275 0.275 0.0 0.0
-7.275 0.325 0.0 0.0
-7.275 0.375 0.0 0.0
-7.275 0.425 0.0 0.0
-7.275 0.475 0.0 0.0
-7.275 0.525 0.0 0.0
-7.275 0.575 0.0 0.0
-7.275 0.625 0.0 0.0
-7.275 0.675 2.43879e-15 0.0
-7.275 0.725 3.20682e-15 0.0
-7.275 0.775 4.19575e-15 0.0
-7.275 0.825 5.46334e-15 0.0
-7.275 0.875 7.08168e-15 0.0
-7.275 0.925 9.14092e-15 0.0
-7.275 0.975 1.1754e-14 0.0
-7.275 1.025 1.50628e-14 0.0
-7.275 1.075 1.92455e-14 0.0
-7.275 1.125 2.45263e-14 0.0
-7.275 1.175 3.11877e-14 0.0
-7.275 1.225 3.9585e-14 0.0
-7.275 1.275 5.0166e-14 0.0
-7.275 1.325 6.34944e-14 0.0
-7.275 1.375 8.02802e-14 0.0
-7.275 1.425 1.01417e-13 0.0
-7.275 1.475 1.28031e-13 0.0
-7.275 1.525 1.61539e-13 0.0
-7.275 1.575 2.03724e-13 0.0
-7.275 1.625 2.56832e-13 0.0
-7.275 1.675 3.23692e-13 0.0
-7.275 1.725 4.07861e-13 0.0
-7.275 1.775 5.1382e-13 0.0
-7.275 1.825 6.47209e-13 0.0
-7.275 1.875 8.15128e-13 0.0
-7.275 1.925 1.02651e-12 0.0
-7.275 1.975 1.29262e-12 0.0
-7.275 2.025 1.62759e-12 0.0
-7.275 2.075 2.04927e-12 0.0
-7.275 2.125 2.58009e-12 0.0
-7.275 2.175 3.24829e-12 0.0
-7.275 2.225 4.0894e-12 0.0
-7.275 2.275 5.14819e-12 0.0
-7.275 2.325 6.48095e-12 0.0
-7.275 2.375 8.15858e-12 0.0
-7.275 2.425 1.02703e-11 0.0
-7.275 2.475 1.29283e-11 0.0
-7.275 2.525 1.62741e-11 0.0
-7.275 2.575 2.04855e-11 0.0
-7.275 2.625 2.57865e-11 0.0
-7.275 2.675 3.24589e-11 0.0
-7.275 2.725 4.08576e-11 0.0
-7.275 2.775 5.14296e-11 0.0
-7.275 2.825 6.47376e-11 0.0
-7.275 2.875 8.14905e-11 0.0
-7.275 2.925 1.02582e-10 0.0
-7.275 2.975 1.29137e-10 0.0
-7.275 3.025 1.62578e-10 0.0
-7.275 3.075 2.04697e-10 0.0
-7.275 3.125 2.57764e-10 0.0
-7.275 3.175 3.24649e-10 0.0
-7.275 3.225 4.08995e-10 0.0
-7.275 3.275 5.15437e-10 0.0
-7.275 3.325 6.49895e-10 0.0
-7.275 3.375 8.19968e-10 0.0
-7.275 3.425 1.03548e-09 0.0
-7.275 3.475 1.30924e-09 0.0
-7.275 3.525 1.65815e-09 0.0
-7.275 3.575 2.10491e-09 0.0
-7.275 3.625 2.68061e-09 0.0
-7.275 3.675 3.4291e-09 0.0
-7.275 3.725 4.41447e-09 0.0
-7.275 3.775 5.73492e-09 0.0
-7.275 3.825 7.55015e-09 0.0
-7.275 3.875 1.01404e-08 0.0
-7.275 3.925 1.40489e-08 0.0
-7.275 3.975 2.04823e-08 0.0
-7.275 4.025 3.27388e-08 0.0
-7.275 4.075 6.40051e-08 0.0
-7.275 4.125 2.78862e-07 0.0
-7.275 4.175 0.0 0.0
-7.275 4.225 0.0 0.0
-7.275 4.275 0.0 0.0
-7.275 4.325 0.0 0.0
-7.275 4.375 0.0 0.0
-7.275 4.425 0.0 0.0
-7.275 4.475 0.0 0.0
-7.275 4.525 0.0 0.0
-7.275 4.575 0.0 0.0
-7.275 4.625 0.0 0.0
-7.275 4.675 0.0 0.0
-7.275 4.725 0.0 0.0
-7.275 4.775 0.0 0.0
-7.275 4.825 0.0 0.0
-7.275 4.875 0.0 0.0
-7.275 4.925 0.0 0.0
-7.275 4.975 0.0 0.0
-7.225 -1.975 0.0 0.0
-7.225 -1.925 0.0 0.0
-7.225 -1.875 0.0 0.0
-7.225 -1.825 0.0 0.0
-7.225 -1.775 0.0 0.0
-7.225 -1.725 0.0 0.0
-7.225 -1.675 0.0 0.0
-7.225 -1.625 0.0 0.0
-7.225 -1.575 0.0 0.0
-7.225 -1.525 0.0 0.0
-7.225 -1.475 0.0 0.0
-7.225 -1.425 0.0 0.0
-7.225 -1.375 0.0 0.0
-7.225 -1.325 0.0 0.0
-7.225 -1.275 0.0 0.0
-7.225 -1.225 0.0 0.0
-7.225 -1.175 0.0 0.0
-7.225 -1.125 0.0 0.0
-7.225 -1.075 0.0 0.0
-7.225 -1.025 0.0 0.0
-7.225 -0.975 0.0 0.0
-7.225 -0.925 0.0 0.0
-7.225 -0.875 0.0 0.0
-7.225 -0.825 0.0 0.0
-7.225 -0.775 0.0 0.0
-7.225 -0.725 0.0 0.0
-7.225 -0.675 0.0 0.0
-7.225 -0.625 0.0 0.0
-7.225 -0.575 0.0 0.0
-7.225 -0.525 0.0 0.0
-7.225 -0.475 0.0 0.0
-7.225 -0.425 0.0 0.0
-7.225 -0.375 0.0 0.0
-7.225 -0.325 0.0 0.0
-7.225 -0.275 0.0 0.0
-7.225 -0.225 0.0 0.0
-7.225 -0.175 0.0 0.0
-7.225 -0.125 0.0 0.0
-7.225 -0.075 0.0 0.0
-7.225 -0.025 0.0 0.0
-7.225 0.025 0.0 0.0
-7.225 0.075 0.0 0.0
-7.225 0.125 0.0 0.0
-7.225 0.175 0.0 0.0
-7.225 0.225 0.0 0.0
-7.225 0.275 0.0 0.0
-7.225 0.325 0.0 0.0
-7.225 0.375 0.0 0.0
-7.225 0.425 0.0 0.0
-7.225 0.475 0.0 0.0
-7.225 0.525 0.0 0.0
-7.225 0.575 0.0 0.0
-7.225 0.625 0.0 0.0
-7.225 0.675 3.07025e-15 0.0
-7.225 0.725 4.03715e-15 0.0
-7.225 0.775 5.28214e-15 0.0
-7.225 0.825 6.87794e-15 0.0
-7.225 0.875 8.9153e-15 0.0
-7.225 0.925 1.15077e-14 0.0
-7.225 0.975 1.47974e-14 0.0
-7.225 1.025 1.89629e-14 0.0
-7.225 1.075 2.42286e-14 0.0
-7.225 1.125 3.08768e-14 0.0
-7.225 1.175 3.9263e-14 0.0
-7.225 1.225 4.98346e-14 0.0
-7.225 1.275 6.31553e-14 0.0
-7.225 1.325 7.99348e-14 0.0
-7.225 1.375 1.01067e-13 0.0
-7.225 1.425 1.27677e-13 0.0
-7.225 1.475 1.61182e-13 0.0
-7.225 1.525 2.03365e-13 0.0
-7.225 1.575 2.56473e-13 0.0
-7.225 1.625 3.23333e-13 0.0
-7.225 1.675 4.07504e-13 0.0
-7.225 1.725 5.13466e-13 0.0
-7.225 1.775 6.46861e-13 0.0
-7.225 1.825 8.14788e-13 0.0
-7.225 1.875 1.02619e-12 0.0
-7.225 1.925 1.2923e-12 0.0
-7.225 1.975 1.62731e-12 0.0
-7.225 2.025 2.04902e-12 0.0
-7.225 2.075 2.57988e-12 0.0
-7.225 2.125 3.24814e-12 0.0
-7.225 2.175 4.08935e-12 0.0
-7.225 2.225 5.14826e-12 0.0
-7.225 2.275 6.48118e-12 0.0
-7.225 2.325 8.15904e-12 0.0
-7.225 2.375 1.0271e-11 0.0
-7.225 2.425 1.29295e-11 0.0
-7.225 2.475 1.62758e-11 0.0
-7.225 2.525 2.04879e-11 0.0
-7.225 2.575 2.57897e-11 0.0
-7.225 2.625 3.24632e-11 0.0
-7.225 2.675 4.08633e-11 0.0
-7.225 2.725 5.14367e-11 0.0
-7.225 2.775 6.4746e-11 0.0
-7.225 2.825 8.14998e-11 0.0
-7.225 2.875 1.0259e-10 0.0
-7.225 2.925 1.29142e-10 0.0
-7.225 2.975 1.62574e-10 0.0
